year,period,periodName,latest,value,footnotes,seriesID
2009,A01,Annual,,17258,,CXUHOUSINGLB0403M
2008,A01,Annual,,17318,,CXUHOUSINGLB0403M
2007,A01,Annual,,17329,,CXUHOUSINGLB0403M
2006,A01,Annual,,17139,,CXUHOUSINGLB0403M
2018,A01,Annual,true,10307,,CXUTRANSLB0403M
2017,A01,Annual,,9115,,CXUTRANSLB0403M
2016,A01,Annual,,9124,,CXUTRANSLB0403M
2015,A01,Annual,,9777,,CXUTRANSLB0403M
2014,A01,Annual,,8908,,CXUTRANSLB0403M
2013,A01,Annual,,9183,,CXUTRANSLB0403M
2012,A01,Annual,,9724,,CXUTRANSLB0403M
2011,A01,Annual,,8860,,CXUTRANSLB0403M
2010,A01,Annual,,8231,,CXUTRANSLB0403M
2009,A01,Annual,,7671,,CXUTRANSLB0403M
2008,A01,Annual,,8699,,CXUTRANSLB0403M
2007,A01,Annual,,9065,,CXUTRANSLB0403M
2006,A01,Annual,,9047,,CXUTRANSLB0403M
2018,A01,Annual,true,4395,,CXUFOODAWAYLB0404M
2017,A01,Annual,,4249,,CXUFOODAWAYLB0404M
2016,A01,Annual,,3975,,CXUFOODAWAYLB0404M
2015,A01,Annual,,3900,,CXUFOODAWAYLB0404M
2014,A01,Annual,,3388,,CXUFOODAWAYLB0404M
2013,A01,Annual,,3280,,CXUFOODAWAYLB0404M
2012,A01,Annual,,3210,,CXUFOODAWAYLB0404M
2011,A01,Annual,,3171,,CXUFOODAWAYLB0404M
2010,A01,Annual,,3227,,CXUFOODAWAYLB0404M
2009,A01,Annual,,3314,,CXUFOODAWAYLB0404M
2008,A01,Annual,,3340,,CXUFOODAWAYLB0404M
2007,A01,Annual,,3268,,CXUFOODAWAYLB0404M
2006,A01,Annual,,3203,,CXUFOODAWAYLB0404M
2018,A01,Annual,true,2421,,CXUAPPARELLB0404M
2017,A01,Annual,,2377,,CXUAPPARELLB0404M
2016,A01,Annual,,2508,,CXUAPPARELLB0404M
2015,A01,Annual,,2584,,CXUAPPARELLB0404M
2014,A01,Annual,,2250,,CXUAPPARELLB0404M
2013,A01,Annual,,1960,,CXUAPPARELLB0404M
2012,A01,Annual,,2264,,CXUAPPARELLB0404M
2011,A01,Annual,,2227,,CXUAPPARELLB0404M
2010,A01,Annual,,2040,,CXUAPPARELLB0404M
2009,A01,Annual,,2346,,CXUAPPARELLB0404M
2008,A01,Annual,,2235,,CXUAPPARELLB0404M
2007,A01,Annual,,2335,,CXUAPPARELLB0404M
2006,A01,Annual,,2368,,CXUAPPARELLB0404M
2018,A01,Annual,true,3572,,CXUENTRTAINLB0404M
2017,A01,Annual,,4001,,CXUENTRTAINLB0404M
2016,A01,Annual,,3509,,CXUENTRTAINLB0404M
2015,A01,Annual,,3192,,CXUENTRTAINLB0404M
2014,A01,Annual,,3372,,CXUENTRTAINLB0404M
2013,A01,Annual,,2958,,CXUENTRTAINLB0404M
2012,A01,Annual,,3232,,CXUENTRTAINLB0404M
2011,A01,Annual,,2926,,CXUENTRTAINLB0404M
2010,A01,Annual,,3058,,CXUENTRTAINLB0404M
2009,A01,Annual,,3317,,CXUENTRTAINLB0404M
2008,A01,Annual,,3603,,CXUENTRTAINLB0404M
2007,A01,Annual,,3551,,CXUENTRTAINLB0404M
2006,A01,Annual,,2966,,CXUENTRTAINLB0404M
2018,A01,Annual,true,1681,,CXUCASHCONTLB0404M
2017,A01,Annual,,1580,,CXUCASHCONTLB0404M
2016,A01,Annual,,1596,,CXUCASHCONTLB0404M
2015,A01,Annual,,1664,,CXUCASHCONTLB0404M
2014,A01,Annual,,1591,,CXUCASHCONTLB0404M
2013,A01,Annual,,1440,,CXUCASHCONTLB0404M
2012,A01,Annual,,1469,,CXUCASHCONTLB0404M
2011,A01,Annual,,1570,,CXUCASHCONTLB0404M
2010,A01,Annual,,1532,,CXUCASHCONTLB0404M
2009,A01,Annual,,1581,,CXUCASHCONTLB0404M
2008,A01,Annual,,1550,,CXUCASHCONTLB0404M
2007,A01,Annual,,1569,,CXUCASHCONTLB0404M
2006,A01,Annual,,1707,,CXUCASHCONTLB0404M
2018,A01,Annual,true,725,,CXUALCBEVGLB0404M
2017,A01,Annual,,624,,CXUALCBEVGLB0404M
2016,A01,Annual,,538,,CXUALCBEVGLB0404M
2015,A01,Annual,,697,,CXUALCBEVGLB0404M
2014,A01,Annual,,505,,CXUALCBEVGLB0404M
2013,A01,Annual,,443,,CXUALCBEVGLB0404M
2012,A01,Annual,,501,,CXUALCBEVGLB0404M
2011,A01,Annual,,497,,CXUALCBEVGLB0404M
2010,A01,Annual,,497,,CXUALCBEVGLB0404M
2009,A01,Annual,,498,,CXUALCBEVGLB0404M
2008,A01,Annual,,462,,CXUALCBEVGLB0404M
2007,A01,Annual,,469,,CXUALCBEVGLB0404M
2006,A01,Annual,,496,,CXUALCBEVGLB0404M
2018,A01,Annual,true,1130,,CXUEDUCATNLB0404M
2017,A01,Annual,,1004,,CXUEDUCATNLB0404M
2016,A01,Annual,,1286,,CXUEDUCATNLB0404M
2015,A01,Annual,,1178,,CXUEDUCATNLB0404M
2014,A01,Annual,,1233,,CXUEDUCATNLB0404M
2013,A01,Annual,,903,,CXUEDUCATNLB0404M
2012,A01,Annual,,1050,,CXUEDUCATNLB0404M
2011,A01,Annual,,818,,CXUEDUCATNLB0404M
2010,A01,Annual,,963,,CXUEDUCATNLB0404M
2009,A01,Annual,,935,,CXUEDUCATNLB0404M
2008,A01,Annual,,953,,CXUEDUCATNLB0404M
2007,A01,Annual,,819,,CXUEDUCATNLB0404M
2006,A01,Annual,,857,,CXUEDUCATNLB0404M
2018,A01,Annual,true,877,,CXUPERSCARELB0404M
2017,A01,Annual,,959,,CXUPERSCARELB0404M
2016,A01,Annual,,807,,CXUPERSCARELB0404M
2015,A01,Annual,,818,,CXUPERSCARELB0404M
2014,A01,Annual,,741,,CXUPERSCARELB0404M
2013,A01,Annual,,672,,CXUPERSCARELB0404M
2012,A01,Annual,,694,,CXUPERSCARELB0404M
2011,A01,Annual,,736,,CXUPERSCARELB0404M
2010,A01,Annual,,682,,CXUPERSCARELB0404M
2009,A01,Annual,,685,,CXUPERSCARELB0404M
2008,A01,Annual,,728,,CXUPERSCARELB0404M
2007,A01,Annual,,662,,CXUPERSCARELB0404M
2006,A01,Annual,,688,,CXUPERSCARELB0404M
2018,A01,Annual,true,408,,CXUTOBACCOLB0404M
2017,A01,Annual,,366,,CXUTOBACCOLB0404M
2016,A01,Annual,,370,,CXUTOBACCOLB0404M
2015,A01,Annual,,383,,CXUTOBACCOLB0404M
2014,A01,Annual,,324,,CXUTOBACCOLB0404M
2013,A01,Annual,,331,,CXUTOBACCOLB0404M
2012,A01,Annual,,358,,CXUTOBACCOLB0404M
2011,A01,Annual,,343,,CXUTOBACCOLB0404M
2010,A01,Annual,,358,,CXUTOBACCOLB0404M
2009,A01,Annual,,417,,CXUTOBACCOLB0404M
2008,A01,Annual,,354,,CXUTOBACCOLB0404M
2007,A01,Annual,,379,,CXUTOBACCOLB0404M
2006,A01,Annual,,354,,CXUTOBACCOLB0404M
2018,A01,Annual,true,5425,,CXUFOODHOMELB0404M
2017,A01,Annual,,5127,,CXUFOODHOMELB0404M
2016,A01,Annual,,4725,,CXUFOODHOMELB0404M
2015,A01,Annual,,4944,,CXUFOODHOMELB0404M
2014,A01,Annual,,4675,,CXUFOODHOMELB0404M
2013,A01,Annual,,4641,,CXUFOODHOMELB0404M
2012,A01,Annual,,4490,,CXUFOODHOMELB0404M
2011,A01,Annual,,4594,,CXUFOODHOMELB0404M
2010,A01,Annual,,4255,,CXUFOODHOMELB0404M
2009,A01,Annual,,4446,,CXUFOODHOMELB0404M
2008,A01,Annual,,4509,,CXUFOODHOMELB0404M
2007,A01,Annual,,4125,,CXUFOODHOMELB0404M
2006,A01,Annual,,4128,,CXUFOODHOMELB0404M
2018,A01,Annual,true,4317,,CXUHEALTHLB0404M
2017,A01,Annual,,4348,,CXUHEALTHLB0404M
2016,A01,Annual,,4076,,CXUHEALTHLB0404M
2015,A01,Annual,,3873,,CXUHEALTHLB0404M
2014,A01,Annual,,4033,,CXUHEALTHLB0404M
2013,A01,Annual,,3188,,CXUHEALTHLB0404M
2012,A01,Annual,,2948,,CXUHEALTHLB0404M
2011,A01,Annual,,2762,,CXUHEALTHLB0404M
2010,A01,Annual,,2583,,CXUHEALTHLB0404M
2009,A01,Annual,,2520,,CXUHEALTHLB0404M
2008,A01,Annual,,2499,,CXUHEALTHLB0404M
2007,A01,Annual,,2315,,CXUHEALTHLB0404M
2006,A01,Annual,,2284,,CXUHEALTHLB0404M
2018,A01,Annual,true,23732,,CXUHOUSINGLB0404M
2017,A01,Annual,,23805,,CXUHOUSINGLB0404M
2016,A01,Annual,,22908,,CXUHOUSINGLB0404M
2015,A01,Annual,,22204,,CXUHOUSINGLB0404M
2014,A01,Annual,,21222,,CXUHOUSINGLB0404M
2013,A01,Annual,,20619,,CXUHOUSINGLB0404M
2012,A01,Annual,,19858,,CXUHOUSINGLB0404M
2011,A01,Annual,,19979,,CXUHOUSINGLB0404M
2010,A01,Annual,,20041,,CXUHOUSINGLB0404M
2009,A01,Annual,,20705,,CXUHOUSINGLB0404M
2008,A01,Annual,,20649,,CXUHOUSINGLB0404M
2007,A01,Annual,,20952,,CXUHOUSINGLB0404M
2006,A01,Annual,,20303,,CXUHOUSINGLB0404M
2018,A01,Annual,true,11840,,CXUTRANSLB0404M
2017,A01,Annual,,11054,,CXUTRANSLB0404M
2016,A01,Annual,,10352,,CXUTRANSLB0404M
2015,A01,Annual,,10945,,CXUTRANSLB0404M
2014,A01,Annual,,10617,,CXUTRANSLB0404M
2013,A01,Annual,,10519,,CXUTRANSLB0404M
2012,A01,Annual,,9991,,CXUTRANSLB0404M
2011,A01,Annual,,9700,,CXUTRANSLB0404M
2010,A01,Annual,,8763,,CXUTRANSLB0404M
2009,A01,Annual,,8364,,CXUTRANSLB0404M
2008,A01,Annual,,9797,,CXUTRANSLB0404M
2007,A01,Annual,,10558,,CXUTRANSLB0404M
2006,A01,Annual,,9977,,CXUTRANSLB0404M
2018,A01,Annual,true,4397,,CXUFOODAWAYLB0405M
2017,A01,Annual,,4157,,CXUFOODAWAYLB0405M
2016,A01,Annual,,3979,,CXUFOODAWAYLB0405M
2015,A01,Annual,,3693,,CXUFOODAWAYLB0405M
2014,A01,Annual,,3394,,CXUFOODAWAYLB0405M
